station_name,date,hour,population
ikebukuro,2024/12/7,10,NA
ikebukuro,2024/12/7,11,NA
ikebukuro,2024/12/7,12,NA
ikebukuro,2024/12/7,13,NA
ikebukuro,2024/12/7,14,NA
ikebukuro,2024/12/7,15,NA
ikebukuro,2024/12/7,16,NA
ikebukuro,2024/12/7,17,NA
ikebukuro,2024/12/7,18,NA
ikebukuro,2024/12/7,19,NA
ikebukuro,2024/12/7,20,NA
ikebukuro,2024/12/7,21,NA
ikebukuro,2024/12/7,22,17657
ikebukuro,2024/12/7,23,12171
ikebukuro,2024/12/7,24,6686
ikebukuro,2024/12/8,1,4629
ikebukuro,2024/12/8,2,4629
ikebukuro,2024/12/8,3,4629
ikebukuro,2024/12/8,4,4629
ikebukuro,2024/12/8,5,4971
ikebukuro,2024/12/8,6,7371
ikebukuro,2024/12/8,7,14229
ikebukuro,2024/12/8,8,23829
ikebukuro,2024/12/8,9,22457
ikebukuro,2024/12/8,10,24514
ikebukuro,2024/12/8,11,27943
ikebukuro,2024/12/8,12,32743
ikebukuro,2024/12/8,13,35143
ikebukuro,2024/12/8,14,33771
ikebukuro,2024/12/8,15,34457
ikebukuro,2024/12/8,16,35829
ikebukuro,2024/12/8,17,38914
ikebukuro,2024/12/8,18,43029
ikebukuro,2024/12/8,19,41314
ikebukuro,2024/12/8,20,33086
ikebukuro,2024/12/8,21,25886
ikebukuro,2024/12/8,22,NA
ikebukuro,2024/12/8,23,13200
ikebukuro,2024/12/8,24,7371
ikebukuro,2024/12/9,1,4971
ikebukuro,2024/12/9,2,4971
ikebukuro,2024/12/9,3,4971
ikebukuro,2024/12/9,4,4971
ikebukuro,2024/12/9,5,5657
ikebukuro,2024/12/9,6,7371
ikebukuro,2024/12/9,7,14229
ikebukuro,2024/12/9,8,24514
ikebukuro,2024/12/9,9,23829
ikebukuro,2024/12/9,10,24857
ikebukuro,2024/12/9,11,28286
ikebukuro,2024/12/9,12,33771
ikebukuro,2024/12/9,13,36171
ikebukuro,2024/12/9,14,34800
ikebukuro,2024/12/9,15,35829
ikebukuro,2024/12/9,16,36857
ikebukuro,2024/12/9,17,41657
ikebukuro,2024/12/9,18,45429
ikebukuro,2024/12/9,19,43371
ikebukuro,2024/12/9,20,35486
ikebukuro,2024/12/9,21,28971
ikebukuro,2024/12/9,22,21429
ikebukuro,2024/12/9,23,14571
ikebukuro,2024/12/9,24,7714
ikebukuro,2024/12/10,1,5657
ikebukuro,2024/12/10,2,5314
ikebukuro,2024/12/10,3,4971
ikebukuro,2024/12/10,4,4971
ikebukuro,2024/12/10,5,5657
ikebukuro,2024/12/10,6,7371
ikebukuro,2024/12/10,7,14229
ikebukuro,2024/12/10,8,23143
ikebukuro,2024/12/10,9,22457
ikebukuro,2024/12/10,10,25200
ikebukuro,2024/12/10,11,29657
ikebukuro,2024/12/10,12,34729
ikebukuro,2024/12/10,13,37238
ikebukuro,2024/12/10,14,36155
ikebukuro,2024/12/10,15,37200
ikebukuro,2024/12/10,16,38571
ikebukuro,2024/12/10,17,42343
ikebukuro,2024/12/10,18,46800
ikebukuro,2024/12/10,19,44743
ikebukuro,2024/12/10,20,36514
ikebukuro,2024/12/10,21,29657
ikebukuro,2024/12/10,22,22457
ikebukuro,2024/12/10,23,15257
ikebukuro,2024/12/10,24,8400
ikebukuro,2024/12/11,1,5657
ikebukuro,2024/12/11,2,5657
ikebukuro,2024/12/11,3,5657
ikebukuro,2024/12/11,4,5314
ikebukuro,2024/12/11,5,5657
ikebukuro,2024/12/11,6,7371
ikebukuro,2024/12/11,7,13886
ikebukuro,2024/12/11,8,23486
ikebukuro,2024/12/11,9,24857
ikebukuro,2024/12/11,10,26571
ikebukuro,2024/12/11,11,29657
ikebukuro,2024/12/11,12,35143
ikebukuro,2024/12/11,13,37543
ikebukuro,2024/12/11,14,36171
ikebukuro,2024/12/11,15,36514
ikebukuro,2024/12/11,16,37886
ikebukuro,2024/12/11,17,42000
ikebukuro,2024/12/11,18,46135
ikebukuro,2024/12/11,19,45367
ikebukuro,2024/12/11,20,37938
ikebukuro,2024/12/11,21,30367
ikebukuro,2024/12/11,22,22929
ikebukuro,2024/12/11,23,15643
ikebukuro,2024/12/11,24,8357
ikebukuro,2024/12/12,1,5357
ikebukuro,2024/12/12,2,5357
ikebukuro,2024/12/12,3,4929
ikebukuro,2024/12/12,4,4929
ikebukuro,2024/12/12,5,5357
ikebukuro,2024/12/12,6,7500
ikebukuro,2024/12/12,7,13929
ikebukuro,2024/12/12,8,22929
ikebukuro,2024/12/12,9,22929
ikebukuro,2024/12/12,10,25929
ikebukuro,2024/12/12,11,30214
ikebukuro,2024/12/12,12,36214
ikebukuro,2024/12/12,13,38786
ikebukuro,2024/12/12,14,37929
ikebukuro,2024/12/12,15,39214
ikebukuro,2024/12/12,16,40929
ikebukuro,2024/12/12,17,45643
ikebukuro,2024/12/12,18,52071
ikebukuro,2024/12/12,19,53357
ikebukuro,2024/12/12,20,47786
ikebukuro,2024/12/12,21,40242
ikebukuro,2024/12/12,22,NA
ikebukuro,2024/12/12,23,NA
ikebukuro,2024/12/13,0,NA
ikebukuro,2024/12/13,1,NA
ikebukuro,2024/12/13,2,NA
ikebukuro,2024/12/13,3,NA
ikebukuro,2024/12/13,4,NA
ikebukuro,2024/12/13,5,NA
ikebukuro,2024/12/13,6,NA
ikebukuro,2024/12/13,7,NA
ikebukuro,2024/12/13,8,NA
ikebukuro,2024/12/13,9,NA
ikebukuro,2024/12/13,10,NA
ikebukuro,2024/12/13,11,NA
ikebukuro,2024/12/13,12,NA
ikebukuro,2024/12/13,13,NA
ikebukuro,2024/12/13,14,NA
ikebukuro,2024/12/13,15,NA
ikebukuro,2024/12/13,16,NA
ikebukuro,2024/12/13,17,NA
ikebukuro,2024/12/13,18,NA
ikebukuro,2024/12/13,19,NA
ikebukuro,2024/12/13,20,NA
ikebukuro,2024/12/13,21,NA
ikebukuro,2024/12/13,22,29657
ikebukuro,2024/12/13,23,21429
ikebukuro,2024/12/13,24,12171
ikebukuro,2024/12/14,1,8057
ikebukuro,2024/12/14,2,7714
ikebukuro,2024/12/14,3,7371
ikebukuro,2024/12/14,4,7371
ikebukuro,2024/12/14,5,7714
ikebukuro,2024/12/14,6,7029
ikebukuro,2024/12/14,7,8057
ikebukuro,2024/12/14,8,10457
ikebukuro,2024/12/14,9,15600
ikebukuro,2024/12/14,10,23829
ikebukuro,2024/12/14,11,33429
ikebukuro,2024/12/14,12,40629
ikebukuro,2024/12/14,13,45429
ikebukuro,2024/12/14,14,47829
ikebukuro,2024/12/14,15,49543
ikebukuro,2024/12/14,16,49200
ikebukuro,2024/12/14,17,47829
