metric,mean,std,section,station,hour,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std
mae,1036.2866924180864,76.52808881210342,overall,,,,,,,,
rmse,1440.8092042574874,83.42031389568353,overall,,,,,,,,
mape,8.532472731651575,1.308130242633321,overall,,,,,,,,
r2,0.9935582502012918,0.0007365710189617744,overall,,,,,,,,
mae,1470.4604831975455,110.44579713167728,per_station,ikebukuro,,,,,,,
rmse,1959.0362177349566,136.30608469591272,per_station,ikebukuro,,,,,,,
mape,7.168871325782232,0.8796581084463961,per_station,ikebukuro,,,,,,,
r2,0.9814817296415456,0.0025643146045494438,per_station,ikebukuro,,,,,,,
mae,848.8348829836241,132.98010127579474,per_station,nihonbashi,,,,,,,
rmse,1178.7014055282873,145.55037864608434,per_station,nihonbashi,,,,,,,
mape,11.23488005644295,1.9418862553884195,per_station,nihonbashi,,,,,,,
r2,0.9968413056385659,0.0007511904629653595,per_station,nihonbashi,,,,,,,
mae,720.515945017633,89.19283756418051,per_station,shibuya,,,,,,,
rmse,948.8723891147959,116.36313834795655,per_station,shibuya,,,,,,,
mape,7.490547201668846,1.5889441500481083,per_station,shibuya,,,,,,,
r2,0.9945116058562002,0.0013988104448343875,per_station,shibuya,,,,,,,
mae,1105.3354584735425,99.90374197493117,per_station,shinjuku,,,,,,,
rmse,1461.029412837866,144.05642721126458,per_station,shinjuku,,,,,,,
mape,8.235592342712279,1.558043387005079,per_station,shinjuku,,,,,,,
r2,0.9946548971279618,0.0010106586556914618,per_station,shinjuku,,,,,,,
,,,hourly_shibuya,,7.0,590.9211868941785,258.12208002562147,720.8950221006725,359.35458028043433,10.545650993627595,4.610364874776553
,,,hourly_shibuya,,8.0,884.0227583539485,534.2645382144352,990.3296176140599,562.4619753851946,8.142422196892628,4.92092244669119
,,,hourly_shibuya,,9.0,742.1055329227445,430.88197802582096,866.3568538171294,448.6308479494023,4.278298030338172,2.472826612264376
,,,hourly_shibuya,,10.0,622.7787049388887,234.93938952415675,780.2568968840005,305.6756549046805,2.7024601498539536,1.029405531993363
,,,hourly_shibuya,,11.0,579.7094413566597,134.72572752191223,717.0743019190542,188.72122539754338,2.1325746815762363,0.5109545625550028
,,,hourly_shibuya,,12.0,885.176725566387,335.67823164057427,973.3669125862818,356.2287201724278,2.8797138996853837,1.0902510349992578
,,,hourly_shibuya,,13.0,985.4428557252862,370.76242219870824,1085.1810038851904,398.267316705768,3.001828889157234,1.1335592085966002
,,,hourly_shibuya,,14.0,712.4068497943873,235.233774185503,829.4560424785277,255.175891450429,2.11246293021948,0.7020514086468093
,,,hourly_shibuya,,15.0,661.2384310007092,308.90528692969616,782.4106993252738,327.16767442298556,1.9228557985381651,0.8969741779323308
,,,hourly_shibuya,,16.0,654.6320185852047,320.82249798099684,737.1170071510952,309.4238535042249,1.88680983270542,0.9191330375735823
,,,hourly_shibuya,,17.0,786.1777845954888,295.0365095246101,874.3148243556365,292.26358845758676,2.276818972770389,0.8396110007304824
,,,hourly_shibuya,,18.0,1339.9876042366018,466.1621447283388,1668.6312950728284,525.0183117096509,3.9197428549830384,1.3386619698104743
